0000036B, TCTorqueAdjustment, 0.0
0000036F, TempChannelMuxSelect, 18
0000036F, TempChannel55, 21.61
0000036F, TempChannel56, 21.61
0000036F, TempChannel57, 21.61
00000380, ThrottlePercent, 0
00000380, BrakePercent, 4
00000380, brakePressure, 10
00000380, SteeringAngle, -102
00000380, BrakeWhileThrottle, 0
00000383, VoltageBusHV, 0.04
00000383, VoltageCellMax, 3.9130000000000003
00000383, VoltageCellMin, 3.6944000000000004
00000383, CurrentBusHV, 0.0
00000384, AMS_PackVoltage, 525.58
0000038A, VCU_wheelSpeed_RL, 0.0
0000038A, VCU_wheelSpeed_RR, 0.0
0000038C, RLSpeedKPH, 0.0
0000038C, RRSpeedKPH, 0.0
0000038C, FLSpeedKPH, 0.0
0000038C, FRSpeedKPH, 0.0
0000038E, TCTorqueMax, 3.392
0000038E, TCLeftSlip, -0.999
0000038E, TCRightSlip, -0.999
0000038E, TCTorqueAdjustment, 0.0
0000039A, PDU_Heartbeat_dummydata, 0
0000039B, ChannelCurrentFanLeft, 0.0
0000039B, ChannelCurrentFanRight, 0.0
0000039B, ChannelCurrentPumpLeft, 0.0
0000039B, ChannelCurrentPumpRight, 0.0
0000039B, ChannelCurrentBMU, 0.3
0000039B, ChannelCurrentDCU, 0.05
0000039B, ChannelCurrentVCU, 0.47000000000000003
0000039B, ChannelCurrentWSB, 0.42
0000039B, ChannelCurrentAUX, 0.0
0000039B, ChannelCurrentBrakeLight, 0.0
0000039B, ChannelCurrentMCLeft, 0.0
0000039B, ChannelCurrentMCRight, 0.0
0000039C, CarStateIsLV, -1
0000039C, CarStateIsEM, 0
0000039C, CarStateIsHV, 0
000003A4, DCU_Heartbeat_dummydata, 0
000003AB, StateBatteryChargeHV, 92.80000000000001
000003AB, StateBatteryHealthHV, 0.0
000003AB, StateBatteryPowerHV, 331.90000000000003
000003AB, TempCellMax, 156.0
000003AB, TempCellMin, 55.0
000003AB, StateBMS, Wait_System_Up
000003AB, VoltageCellMuxSelect, 19
000003AB, VoltageCell58, 3.9083
000003AB, VoltageCell59, 3.8704
000003AB, VoltageCell60, 3.8802000000000003
000003AD, VCU_wheelSpeed_RL, 0.0
000003AD, VCU_wheelSpeed_RR, 0.0
000003AD, AdjustedVoltageCellMuxSelect, 19
000003AD, AdjustedVoltageCell58, 3.9095
000003AD, AdjustedVoltageCell59, 3.8704
000003AD, AdjustedVoltageCell60, 3.8802000000000003
000003AF, RLSpeedKPH, 0.0
000003AF, RRSpeedKPH, 0.0
000003AF, FLSpeedKPH, 0.0
